[(0.431787, 0.761516), (0.436172, 0.792359), (0.422327, 0.762311), (0.413872, 0.766152), (0.408899, 0.768339), (0.402807, 0.772628), (0.42695, 0.792997), (0.411355, 0.78241), (0.406515, 0.77731), (0.418451, 0.788546), (0.404878, 0.770237), (0.440415, 0.755009), (0.448364, 0.75204), (0.452829, 0.750608), (0.45879, 0.750577), (0.444493, 0.786159), (0.454943, 0.765879), (0.457062, 0.757685), (0.450834, 0.776396), (0.456409, 0.749663)]
[(0.416475, 0.768985), (0.417961, 0.793137), (0.407009, 0.768618), (0.398021, 0.771189), (0.392502, 0.772626), (0.385853, 0.775762), (0.40856, 0.79296), (0.393681, 0.783607), (0.389197, 0.779447), (0.400237, 0.788872), (0.388246, 0.773897), (0.425105, 0.764759), (0.432773, 0.763337), (0.436834, 0.762797), (0.442144, 0.763265), (0.426451, 0.789019), (0.437512, 0.774234), (0.440055, 0.768363), (0.433115, 0.781912), (0.440112, 0.762377)]
[(0.409493, 0.77775), (0.408818, 0.801044), (0.399851, 0.776823), (0.390227, 0.778639), (0.384228, 0.779396), (0.376772, 0.781381), (0.399302, 0.800263), (0.384416, 0.789712), (0.380014, 0.78524), (0.39095, 0.795525), (0.379435, 0.77997), (0.418129, 0.774082), (0.425464, 0.772818), (0.429152, 0.772375), (0.433992, 0.773221), (0.417319, 0.797401), (0.428711, 0.783476), (0.431542, 0.778021), (0.424073, 0.790717), (0.432242, 0.772097)]
[(0.410078, 0.773383), (0.409855, 0.794145), (0.400434, 0.773072), (0.390927, 0.775531), (0.385066, 0.776886), (0.378091, 0.779477), (0.400265, 0.793969), (0.385571, 0.785923), (0.381287, 0.782464), (0.391953, 0.790429), (0.380605, 0.777909), (0.419034, 0.769844), (0.426899, 0.768814), (0.430934, 0.768569), (0.436285, 0.769213), (0.418676, 0.790626), (0.43066, 0.778181), (0.433713, 0.773388), (0.425753, 0.78457), (0.434295, 0.768312)]
[(0.409783, 0.769156), (0.410257, 0.790739), (0.400449, 0.76871), (0.391381, 0.771048), (0.385787, 0.772357), (0.379355, 0.775), (0.400752, 0.790458), (0.386362, 0.781861), (0.382294, 0.778134), (0.392547, 0.786694), (0.381636, 0.773381), (0.418567, 0.765683), (0.426347, 0.764797), (0.430425, 0.764628), (0.435662, 0.765421), (0.418971, 0.787252), (0.430646, 0.774454), (0.433444, 0.769578), (0.425928, 0.781059), (0.433727, 0.764452)]
[(0.410614, 0.771971), (0.41069, 0.793065), (0.401263, 0.771579), (0.392172, 0.773988), (0.386537, 0.775309), (0.379902, 0.777865), (0.401392, 0.792877), (0.387135, 0.784597), (0.382993, 0.780983), (0.393327, 0.78926), (0.382323, 0.776303), (0.419449, 0.768385), (0.427267, 0.767336), (0.43143, 0.767002), (0.436993, 0.767401), (0.419339, 0.789519), (0.431258, 0.7767), (0.434398, 0.771727), (0.426319, 0.783306), (0.43486, 0.766618)]
[(0.410696, 0.769232), (0.411209, 0.791182), (0.400894, 0.768781), (0.391457, 0.771391), (0.385691, 0.77293), (0.378984, 0.775926), (0.401489, 0.790925), (0.386583, 0.782492), (0.382237, 0.77896), (0.393026, 0.787212), (0.381383, 0.774162), (0.419894, 0.765639), (0.428173, 0.764854), (0.432537, 0.764796), (0.43836, 0.765507), (0.420278, 0.787671), (0.432627, 0.774785), (0.435774, 0.769828), (0.427598, 0.781423), (0.436105, 0.764612)]
[(0.410249, 0.773355), (0.409947, 0.792888), (0.400409, 0.773005), (0.390682, 0.775224), (0.384761, 0.776393), (0.377826, 0.778841), (0.400244, 0.79267), (0.385302, 0.784975), (0.381001, 0.781694), (0.391772, 0.789274), (0.380293, 0.777292), (0.419416, 0.770032), (0.42742, 0.768931), (0.431571, 0.76854), (0.437187, 0.769039), (0.418796, 0.789533), (0.431162, 0.777647), (0.43444, 0.77306), (0.426018, 0.783765), (0.435071, 0.768183)]
[(0.4089, 0.776666), (0.407789, 0.794469), (0.399449, 0.776341), (0.389941, 0.778192), (0.38403, 0.779069), (0.376961, 0.781159), (0.398478, 0.794238), (0.384091, 0.786889), (0.379959, 0.783823), (0.390322, 0.790978), (0.379471, 0.779766), (0.417532, 0.773621), (0.424774, 0.772376), (0.428343, 0.771804), (0.433142, 0.772048), (0.416219, 0.791248), (0.427637, 0.780039), (0.430582, 0.775807), (0.422952, 0.785748), (0.431375, 0.771324)]
[(0.409012, 0.778848), (0.408029, 0.796633), (0.399324, 0.778546), (0.389627, 0.780338), (0.383787, 0.781114), (0.376928, 0.782956), (0.398495, 0.796352), (0.384003, 0.788742), (0.379882, 0.785624), (0.390268, 0.792957), (0.37929, 0.781686), (0.417827, 0.775706), (0.425292, 0.774303), (0.428968, 0.773654), (0.43395, 0.77384), (0.416634, 0.793371), (0.428364, 0.781981), (0.431369, 0.77766), (0.423548, 0.787799), (0.432116, 0.773121)]
